10729243,24563,1,RB,1,100,2025-10-24_02-19-25-806081
10729248,24564,4,EM,1,100,RS,RB,2025-10-24_02-19-25-806081.csv,PS,MN
10729234,24565,1,PI,1,100,16360
10729234,24566,1,PR,1,100,18726
10729234,24567,1,PG,1,100,1175
10729233,24568,1,EA,1,100,0.030307
10729233,24569,1,EL,1,100,26435.199219
10729241,24570,1,TH,1,100,32.728
10729247,24571,1,AX,1,100,-0.067
10729247,24572,1,AY,1,100,0.985
10729247,24573,1,AZ,1,100,0.180
10729247,24574,1,GX,1,100,1.678
10729247,24575,1,GY,1,100,-1.587
10729247,24576,1,GZ,1,100,1.953
10729247,24577,1,MX,1,100,79
10729247,24578,1,MY,1,100,-32
10729247,24579,1,MZ,1,100,49
10729327,24580,2,PI,1,100,15987,15917
10729327,24581,2,PR,1,100,18026,17990
10729327,24582,2,PG,1,100,1163,1156
10729299,24583,1,EA,1,100,0.030307
10729299,24584,1,EL,1,100,26435.599609
10729327,24585,2,AX,1,100,-0.070,-0.072
10729327,24586,2,AY,1,100,0.985,0.985
10729327,24587,2,AZ,1,100,0.177,0.179
10729327,24588,2,GX,1,100,-0.305,-2.289
10729327,24589,2,GY,1,100,0.488,1.801
10729327,24590,2,GZ,1,100,0.702,0.977
10729327,24591,2,MX,1,100,78,79
10729327,24592,2,MY,1,100,-32,-33
10729327,24593,2,MZ,1,100,48,49
10729449,24594,4,EM,1,100,RS,RB,2025-10-24_02-19-25-806081.csv,PS,MN
10729447,24595,3,PI,1,100,16416,17055,18310
10729447,24596,3,PR,1,100,18683,19510,21378
10729447,24597,3,PG,1,100,1180,1235,1334
10729433,24598,2,EA,1,100,0.030307,0.030307
10729433,24599,2,EL,1,100,26435.599609,26435.800781
10729359,24600,1,T1,1,100,32.902
10729374,24601,1,TH,1,100,33.314
10729447,24602,3,AX,1,100,-0.073,-0.068,-0.070
10729447,24603,3,AY,1,100,0.986,0.985,0.983
10729447,24604,3,AZ,1,100,0.181,0.185,0.185
10729447,24605,3,GX,1,100,-2.655,0.214,2.075
10729447,24606,3,GY,1,100,3.052,3.845,0.336
10729447,24607,3,GZ,1,100,1.160,-0.824,-0.397
10729447,24608,3,MX,1,100,78,78,78
10729447,24609,3,MY,1,100,-32,-33,-33
10729447,24610,3,MZ,1,100,51,48,50
10729499,24611,1,SF,1,100,3.9521
10729527,24612,2,PI,1,100,19834,18571
10729527,24613,2,PR,1,100,23581,21915
10729527,24614,2,PG,1,100,1431,1320
10729499,24615,1,EA,1,100,0.030306
10729499,24616,1,EL,1,100,26436.000000
10729492,24617,1,T1,1,100,32.993
10729507,24618,1,TH,1,100,33.313
10729527,24619,2,AX,1,100,-0.074,-0.074
10729527,24620,2,AY,1,100,0.985,0.981
10729527,24621,2,AZ,1,100,0.157,0.200
10729527,24622,2,GX,1,100,3.693,-0.793
10729527,24623,2,GY,1,100,0.885,1.343
10729527,24624,2,GZ,1,100,-2.228,-1.587
10729527,24625,2,MX,1,100,78,78
10729527,24626,2,MY,1,100,-33,-33
10729527,24627,2,MZ,1,100,49,49
10729649,24628,4,EM,1,100,RS,RB,2025-10-24_02-19-25-806081.csv,PS,MN
10729647,24629,3,PI,1,100,12043,9594,9437
